#{"t_start": 1779845151.5542643, "env_id": "None"}
r,l,t
47.337488,53,0.846005
15.81318,17,0.85411
11.706886,13,0.860419
14.016717,15,0.866782
33.319331,36,0.883752
27.242411,29,0.896803
11.281011,13,0.903342
25.243848,27,0.917154
31.252498,34,0.933206
48.833412,53,0.959149
11.801162,14,0.965898
18.655957,20,0.976154
33.247722,38,0.995418
11.719681,13,1.001212
24.201771,26,1.013482
11.776148,13,1.018957
34.61855,38,1.037546
24.111021,29,1.053379
26.869864,28,1.0663
38.910154,47,1.089522
11.988495,13,1.094951
13.82693,15,1.102141
18.379277,21,1.111463
15.688063,17,1.119438
16.299544,18,1.127525
31.276956,34,1.145634
10.83077,12,1.151536
33.155913,35,1.16829
18.499911,20,1.178077
22.024635,27,1.190326
11.939857,13,1.195812
22.766191,24,1.208634
16.819741,18,1.21793
15.805919,17,1.227309
25.265623,27,1.241459
25.851477,28,1.25474
21.165955,25,1.267653
16.860107,18,1.276281
16.066106,18,1.284844
15.041304,16,1.292765
33.482359,35,1.30998
20.278201,22,1.320472
14.799102,17,1.32955
12.165739,14,1.336763
17.479499,19,1.347943
11.635515,13,1.355522
32.363044,34,1.377356
18.550742,20,1.390124
10.86197,12,1.397688
11.573959,13,1.403888
7.091417,8,1.407902
8.966729,10,1.41326
20.587548,22,1.42437
29.558642,36,1.441945
25.609932,28,1.456802
11.374385,13,1.464253
9.958958,11,1.469786
42.064657,45,1.491783
9.901542,11,1.497601
8.078084,9,1.502401
12.352922,14,1.509766
22.774621,24,1.522131
10.122944,11,1.527447
29.065723,34,1.543426
37.277166,40,1.563352
15.791649,17,1.570815
13.381896,15,1.578111
18.672328,21,1.587396
32.078623,34,1.603429
13.888064,15,1.610802
9.923599,11,1.61488
12.437393,14,1.621504
29.031364,30,1.635356
25.939354,30,1.649667
17.758987,19,1.658491
37.877855,40,1.67823
10.025013,11,1.682722
21.048151,23,1.694436
28.242424,31,1.709221
7.053538,8,1.712324
12.779478,14,1.718517
12.027333,13,1.724055
8.715603,10,1.728556
25.851253,27,1.741776
9.952721,11,1.747392
8.954477,10,1.752565
19.552408,22,1.763769
13.216821,15,1.771367
8.91567,10,1.775889
31.429029,33,1.79241
7.717727,9,1.797372
17.818838,20,1.807496
14.535173,16,1.814938
49.681079,52,4.718021
51.620856,54,4.767021
17.759309,21,4.786521
18.679367,20,4.803498
25.056347,28,4.829998
16.332046,18,4.846498
7.103293,8,4.852998
50.038576,57,4.899212
15.757388,17,4.907235
25.994369,28,4.91968
49.672712,55,4.946596
60.834731,64,4.976092
16.844774,18,4.985461
23.686646,25,4.996767
10.858637,12,5.002681
17.370487,19,5.158839
41.989813,47,5.184321
48.74091,55,5.212092
31.699249,34,5.228764
12.455161,14,5.234531
12.972705,14,5.241132
24.59239,26,5.254277
18.873539,21,5.263624
14.287904,16,5.270978
46.472431,53,5.295804
20.539897,22,5.30565
61.393629,65,5.33473
16.535171,18,5.34243
46.945421,50,5.366342
30.786991,32,5.38163
10.623976,12,5.387111
49.800543,56,5.412879
22.445363,25,5.423655
10.098003,11,5.428806
45.105908,50,5.451195
12.746745,14,5.457682
56.295719,61,5.487779
18.989893,21,5.497853
23.823143,25,5.509364
50.07377,54,5.533423
38.65807,42,5.552208
12.861475,14,5.558841
20.601521,22,5.568088
65.474589,74,5.603844
55.358499,60,5.631768
53.582073,61,5.659608
34.089333,36,5.677585
28.914379,31,5.691539
24.630394,26,5.703355
22.63513,24,5.715068
12.798312,14,5.721227
14.808996,16,5.728755
26.358175,28,5.741393
28.744572,30,5.754952
21.76054,23,5.76487
15.025987,17,5.772885
16.575877,18,5.780984
63.401387,67,5.812049
31.322391,34,5.827448
26.754996,30,5.84148
12.001236,13,5.847171
27.579373,30,5.860281
17.794485,21,5.869707
28.606267,30,5.883052
20.084605,21,5.892426
94.613401,101,8.859314
26.851705,29,8.885916
26.115414,29,8.912467
62.478109,65,8.969976
83.572308,86,9.009489
63.260019,71,9.042731
22.037853,23,9.053093
63.794041,67,9.084571
101.081699,107,9.132802
92.530922,99,9.179853
70.065203,73,9.213294
106.637168,116,9.265988
28.780779,30,9.279735
69.685423,74,9.469836
59.004163,68,9.503151
64.332288,67,9.533797
54.527459,56,9.559465
30.911187,33,9.57406
59.719203,62,9.603437
47.805675,51,9.628393
53.097089,58,9.654426
65.035302,71,9.687992
58.110819,62,9.716247
14.903481,16,9.723718
70.054982,73,9.755254
39.51224,41,9.774744
49.082835,54,9.80023
70.040593,74,9.833647
47.669571,52,9.857452
13.772996,15,9.864608
10.742676,12,9.869789
11.941403,13,9.875673
18.648097,20,9.884089
8.95932,10,9.888844
61.572041,65,9.922882
78.516891,85,9.962702
14.355903,16,9.969983
76.262775,81,12.819863
73.200021,77,12.891363
97.023277,102,12.966735
